longitude,latitude,altitude,lidar(m),height_wgs84(m),cs_photo,co_photo
17.01969092,49.29637138,291.2279,21.765,333.2738,1.807626557,0
17.01966573,49.29633005,291.3923,22.024,333.4383,3.441588028,0
17.01964025,49.29628752,291.4458,22.138,333.4918,0,1.186230961
17.01961459,49.29624448,291.5495,22.28,333.5955,1.186421497,0
17.01958965,49.29620173,291.6049,22.47,333.6509,2.375227474,1.565214002
17.01956561,49.29615937,291.7097,22.612,333.7556,5.927584974,0
17.01954218,49.29611869,291.8438,22.723,333.8898,4.754468286,0
17.0195269,49.29608246,291.9075,23.619,333.9535,2.373128879,0
17.01952818,49.29604039,291.964,23.316,334.01,2.585819052,0
17.01954705,49.2960012,292.1069,22.809,334.1529,1.524914011,0
17.01957336,49.29596772,292.0776,22.85,334.1236,3.561982143,1.187327381
17.01959728,49.29593867,292.0669,22.799,334.1129,5.542466538,0.554866825
